run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__HGS_MS__seed01,main,solomon,100,C101,clustered,S1_balanced,HGS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2327.4901471467538,1905.8788618866713,1007.2987620175597,0.7873428847296781,0.7873428847296781,0.0,0.0,1801.097363100038,26.01585080033388,0.0,1801.097363100038,3177,0,0,0,5,real_solver:HGS_MS | archive=5 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__HGS_MS__seed02,main,solomon,100,C101,clustered,S1_balanced,HGS_MS,2,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2352.8783921064924,1948.6405334837857,1027.6323169612062,0.8013531259810769,0.8013531259810769,0.0,0.0,1800.4024993999628,26.005813880221684,0.0,1800.4024993999628,2492,0,0,0,9,real_solver:HGS_MS | archive=9 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__HGS_MS__seed03,main,solomon,100,C101,clustered,S1_balanced,HGS_MS,3,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2337.6602658717816,1920.3809006186846,1014.1297369636598,0.7922559499332983,0.7922559499332983,0.0,0.0,1800.093783600023,26.001354652000334,0.0,1800.093783600023,2367,0,0,0,5,real_solver:HGS_MS | archive=5 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__HGS_MS__seed04,main,solomon,100,C101,clustered,S1_balanced,HGS_MS,4,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2328.883927397652,1925.1925850995324,1017.1197949516704,0.792683187878588,0.792683187878588,0.0,0.0,1801.029800600023,26.014874897555888,0.0,1801.029800600023,2320,0,0,0,5,real_solver:HGS_MS | archive=5 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__HGS_MS__seed05,main,solomon,100,C101,clustered,S1_balanced,HGS_MS,5,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2326.6311324907215,1914.4461515324597,1012.0812693312383,0.7896528839350517,0.7896528839350517,0.0,0.0,1800.7491099000908,26.010820476334647,0.0,1800.7491099000908,2683,0,0,0,20,real_solver:HGS_MS | archive=20 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__HGS_MS__seed06,main,solomon,100,C101,clustered,S1_balanced,HGS_MS,6,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2336.639715176239,1919.0371321459072,1013.7905941190209,0.7918676887337167,0.7918676887337167,0.0,0.0,1800.6488613999682,26.009372442443983,0.0,1800.6488613999682,2884,0,0,0,30,real_solver:HGS_MS | archive=30 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__HGS_MS__seed07,main,solomon,100,C101,clustered,S1_balanced,HGS_MS,7,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2312.8160477415117,1917.3600100272579,1013.7129077396538,0.7888930130851449,0.7888930130851449,0.0,0.0,1800.1292293000733,26.001866645445503,0.0,1800.1292293000733,2599,0,0,0,9,real_solver:HGS_MS | archive=9 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__HGS_MS__seed08,main,solomon,100,C101,clustered,S1_balanced,HGS_MS,8,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2329.3184877136273,1925.5235826898577,1017.7648817121732,0.792944894125012,0.792944894125012,0.0,0.0,1800.112750899978,26.001628624110793,0.0,1800.112750899978,2343,0,0,0,3,real_solver:HGS_MS | archive=3 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__HGS_MS__seed09,main,solomon,100,C101,clustered,S1_balanced,HGS_MS,9,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2191.709607022004,1952.048312573062,1031.1674137195153,0.7842974941898554,0.7842974941898554,0.0,0.0,1801.2730351999635,26.018388286221693,0.0,1801.2730351999635,2412,0,0,0,15,real_solver:HGS_MS | archive=15 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__HGS_MS__seed10,main,solomon,100,C101,clustered,S1_balanced,HGS_MS,10,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2520.645602137045,1993.6918581334821,1053.708731596091,0.8334469689237757,0.8334469689237757,0.0,0.0,1800.969449599972,26.014003160888485,0.0,1800.969449599972,3366,0,0,0,41,real_solver:HGS_MS | archive=41 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__HGS_MS__seed11,main,solomon,100,C101,clustered,S1_balanced,HGS_MS,11,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2193.765328164592,1956.201263527965,1033.5690800080542,0.7857215764943749,0.7857215764943749,0.0,0.0,1800.077002499951,26.001112258332626,0.0,1800.077002499951,3013,0,0,0,47,real_solver:HGS_MS | archive=47 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__HGS_MS__seed12,main,solomon,100,C101,clustered,S1_balanced,HGS_MS,12,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2196.024904349504,1962.211165963306,1036.2326388943577,0.7874907623771911,0.7874907623771911,0.0,0.0,1800.0312413999345,26.00045126466572,0.0,1800.0312413999345,2925,0,0,0,6,real_solver:HGS_MS | archive=6 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
