run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__ILS_MS__seed01,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2332.84368079581,1902.78985344337,1006.3968484409461,0.787299479287949,0.787299479287949,0.0,0.0,1801.0030445999,26.014488421998557,0.0,1801.0030445999,2510,0,0,1837,84,real_solver:ILS_MS | archive=84 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed02,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,2,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2343.0795851377457,1919.1825967115215,1014.3569356047316,0.7927705821611729,0.7927705821611729,0.0,0.0,1800.0839208000107,26.001212189333486,0.0,1800.0839208000107,2838,0,0,2590,39,real_solver:ILS_MS | archive=39 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed03,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,3,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2363.664130634246,1951.381723607368,1031.3894925958552,0.8039329096336524,0.8039329096336524,0.0,0.0,1800.3171889000805,26.004581617445606,0.0,1800.3171889000805,2379,0,0,2069,6,real_solver:ILS_MS | archive=6 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed04,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,4,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2325.5747300566345,1925.685778789131,1019.6461147211015,0.7930250063906272,0.7930250063906272,0.0,0.0,1801.286726100021,26.01858604366697,0.0,1801.286726100021,2720,0,0,2481,26,real_solver:ILS_MS | archive=26 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed05,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,5,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2323.5425874682455,1898.459141873852,1004.098072103272,0.7850488897872255,0.7850488897872255,0.0,0.0,1800.482336499961,26.006967082777216,0.0,1800.482336499961,3226,0,0,2466,113,real_solver:ILS_MS | archive=113 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed06,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,6,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2470.6656156008153,1918.0874366699277,1014.8192244238311,0.8073342793292073,0.8073342793292073,0.0,0.0,1800.088832899928,26.00128314188785,0.0,1800.088832899928,2730,0,0,2454,19,real_solver:ILS_MS | archive=19 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed07,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,7,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2374.2285528544257,1963.9384405291141,1036.7388313049576,0.8082419912623838,0.8082419912623838,0.0,0.0,1800.232551199966,26.0033590728884,0.0,1800.232551199966,2689,0,0,2408,26,real_solver:ILS_MS | archive=26 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed08,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,8,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2330.6750145618694,1903.9544476785084,1007.1354947110531,0.7874016598667682,0.7874016598667682,0.0,0.0,1800.4687746999552,26.006771190110463,0.0,1800.4687746999552,3105,0,0,2208,128,real_solver:ILS_MS | archive=128 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed09,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,9,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2319.0198383231573,1917.8384802866817,1015.2897310928519,0.7900756016563507,0.7900756016563507,0.0,0.0,1800.3551504999632,26.005129951666135,0.0,1800.3551504999632,2548,0,0,2311,3,real_solver:ILS_MS | archive=3 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed10,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,10,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2348.5075734355983,1931.9745812821411,1021.1235737504777,0.7968905815325682,0.7968905815325682,0.0,0.0,1800.795131699997,26.011485235666623,0.0,1800.795131699997,2149,0,0,1877,4,real_solver:ILS_MS | archive=4 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed11,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,11,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2201.475586900206,1941.2032981178745,1025.3609202167036,0.7824300238317053,0.7824300238317053,0.0,0.0,1801.287354500033,26.018595120556032,0.0,1801.287354500033,2451,0,0,1819,75,real_solver:ILS_MS | archive=75 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed12,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,12,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2332.84368079581,1902.78985344337,1006.3968484409461,0.787299479287949,0.787299479287949,0.0,0.0,1800.0798527000006,26.001153427888898,0.0,1800.0798527000006,3535,0,0,2518,128,real_solver:ILS_MS | archive=128 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed13,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,13,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2346.684500015968,1977.50203742918,1045.7716228820325,0.8092816524890275,0.8092816524890275,0.0,0.0,1800.2192095000064,26.00316635944454,0.0,1800.2192095000064,2883,0,0,2667,2,real_solver:ILS_MS | archive=2 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed14,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,14,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2337.27476270604,1925.9502318228783,1018.0587108924802,0.7939892978619705,0.7939892978619705,0.0,0.0,1800.0631322999252,26.00091191099892,0.0,1800.0631322999252,2377,0,0,2089,1,real_solver:ILS_MS | archive=1 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed15,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,15,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2327.8871262023945,1928.3495124527522,1021.9095898215488,0.7942389516092415,0.7942389516092415,0.0,0.0,1800.5571571000619,26.00804782477867,0.0,1800.5571571000619,2531,0,0,2184,5,real_solver:ILS_MS | archive=5 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed16,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,16,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2207.594293616584,1978.755328346933,1047.476717823283,0.7939837733803808,0.7939837733803808,0.0,0.0,1800.1165456000017,26.00168343644447,0.0,1800.1165456000017,3168,0,0,2451,69,real_solver:ILS_MS | archive=69 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed17,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,17,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2342.5486466729417,1924.3014734448243,1017.646660391017,0.7942604577880433,0.7942604577880433,0.0,0.0,1800.453506299993,26.006550646555453,0.0,1800.453506299993,3445,0,0,3095,12,real_solver:ILS_MS | archive=12 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed18,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,18,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2363.2033684112694,1920.7703276488626,1013.2094194786622,0.7949931902223558,0.7949931902223558,0.0,0.0,1800.7033406000119,26.010159364222392,0.0,1800.7033406000119,3161,0,0,2096,45,real_solver:ILS_MS | archive=45 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed19,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,19,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2362.5645589230553,1927.776906899795,1018.8753596187447,0.797343107553143,0.797343107553143,0.0,0.0,1800.5901357000694,26.008524182334334,0.0,1800.5901357000694,3117,0,0,2826,28,real_solver:ILS_MS | archive=28 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__ILS_MS__seed20,main,solomon,100,C101,clustered,S1_balanced,ILS_MS,20,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2339.0850833432232,1905.736314691628,1007.7084794439363,0.7887555602917039,0.7887555602917039,0.0,0.0,1800.0556185999885,26.00080337977761,0.0,1800.0556185999885,3007,0,0,2685,26,real_solver:ILS_MS | archive=26 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ILS_MS__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,ILS_MS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2341.0788987807045,1933.3860296076302,1012.4003398622298,0.7966608545381741,0.7966608545381741,0.0,0.0,1800.429075299995,26.00619775433326,0.0,1800.429075299995,3359,0,0,3179,16,real_solver:ILS_MS | archive=16 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ILS_MS__seed02,main,solomon,100,C101,clustered,S2_peak_dirty,ILS_MS,2,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2338.810974280489,1899.6913816652357,990.2422335323585,0.7860058137960557,0.7860058137960557,0.0,0.0,1800.398564800038,26.00575704711166,0.0,1800.398564800038,2517,0,0,1797,107,real_solver:ILS_MS | archive=107 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ILS_MS__seed03,main,solomon,100,C101,clustered,S2_peak_dirty,ILS_MS,3,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2334.6592268721306,1917.7713362849963,1004.3215675115091,0.7916806793990941,0.7916806793990941,0.0,0.0,1800.7945118999342,26.01147628299905,0.0,1800.7945118999342,2996,0,0,2216,128,real_solver:ILS_MS | archive=128 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
