run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S1_balanced__A3_NoLNS__seed01,main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2479.2966974099895,2264.216151998372,1195.8513689166932,1.028504,0.902468730263918,0.12603526973608203,12.254232335127723,1800.2632683999836,26.003802765777543,0.004846801480203176,7.668365399935283,1,0,0,2177,3,real_solver:A3_NoLNS | archive=3 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A3_NoLNS__seed02,main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,2,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2897.4760060936414,2322.0954389778026,1224.0603064823706,1.028504,0.9655127651023139,0.06299123489768621,6.124549335509265,1800.0992762000533,26.001433989556325,0.002422606188681252,11.410243100021034,1,0,0,3074,2,real_solver:A3_NoLNS | archive=2 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A3_NoLNS__seed03,main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,3,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2759.017417231426,2550.7701744864034,1347.9584913187446,1.028504,1.0129850191311285,0.015518980868871601,1.5088887227343404,1800.6423935999628,26.00927901866613,0.000596670936465946,15.430172800086439,1,0,0,2113,4,real_solver:A3_NoLNS | archive=4 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A3_NoLNS__seed04,main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,4,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2868.5703477165384,2490.374908226599,1312.3960424168924,1.028504,1.0080617262408607,0.02044227375913943,1.9875735786287099,1801.1699764999794,26.016899660555257,0.0007857305838071232,3.523784999968484,1,0,0,2366,3,real_solver:A3_NoLNS | archive=3 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A3_NoLNS__seed05,main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,5,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2726.6282486808495,2460.763516983935,1300.6468260051038,1.028504,0.9847371956700776,0.043766804329922526,4.255384940644132,1800.6681683999486,26.00965132133259,0.0016827139967857192,6.203141400008462,1,0,0,3070,2,real_solver:A3_NoLNS | archive=2 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A3_NoLNS__seed06,main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,6,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2700.941773263541,2298.905163668773,1212.0472065725974,0.956532,0.9367541190997803,0.019777880900219702,2.0676653682490183,1800.08392549993,26.001212257221212,0.0007606522613085808,14.854079999960959,1,0,0,3115,2,real_solver:A3_NoLNS | archive=2 | walltime_hit=1 | init_best=0.956532 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A3_NoLNS__seed07,main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,7,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2889.82465326219,2471.529884020592,1303.3739904311487,1.028504,1.0055826651419062,0.02292133485809389,2.228609208918379,1800.0819425999653,26.00118361533283,0.000881549670861031,8.045875999960117,1,0,0,2510,5,real_solver:A3_NoLNS | archive=5 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A3_NoLNS__seed08,main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,8,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2778.5220353864456,2521.1527408916613,1331.7696857283995,1.01809,1.0069796674075462,0.011110332592453753,1.0912917907506954,1800.0641500999918,26.00092661255544,0.00042730525561688053,16.10304089996498,1,0,0,2506,2,real_solver:A3_NoLNS | archive=2 | walltime_hit=1 | init_best=1.018090 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A3_NoLNS__seed09,main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,9,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2818.2958990881043,2276.61556119217,1198.3202226482636,1.028504,0.9435803449267337,0.08492365507326638,8.257007758187267,1800.3229011000367,26.00466412700053,0.003265708592063318,14.828360600047745,1,0,0,2785,2,real_solver:A3_NoLNS | archive=2 | walltime_hit=1 | init_best=1.028504 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A3_NoLNS__seed10,main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,10,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2569.178386482282,2384.7927765825893,1255.4612373567384,0.944654,0.9446542517814475,0.0,0.0,1800.0994950999739,26.001437151444065,0.0,15.169458899996243,1,0,0,2518,1,real_solver:A3_NoLNS | archive=1 | walltime_hit=1 | init_best=0.944654 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S1_balanced__A3_NoLNS__seed11,main,solomon,100,C101,clustered,S1_balanced,A3_NoLNS,11,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2634.171546354921,2260.604205401461,1193.980541019413,1.004253,0.9192065670897045,0.08504643291029557,8.46862622370016,1800.1173811999615,26.001695506221665,0.0032708033554944803,15.181712200050242,1,0,0,2257,1,real_solver:A3_NoLNS | archive=1 | walltime_hit=1 | init_best=1.004253 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
